GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authorization-service,com.example.authorization_service.entity,UserEntity,50,3,0,0,21,1,11,1,11,1
authorization-service,com.example.authorization_service.entity,ClientEntity,50,3,0,0,21,1,11,1,11,1
authorization-service,com.example.authorization_service,AuthorizationServiceApplication,5,3,0,0,2,1,1,1,1,1
authorization-service,com.example.authorization_service.controllers,LoginController,5,3,0,0,1,1,1,1,1,1
authorization-service,com.example.authorization_service.controllers,ClientController,10,6,0,0,2,3,1,1,1,1
authorization-service,com.example.authorization_service.dto,ClientDTO,0,15,0,0,0,1,0,1,0,1
authorization-service,com.example.authorization_service.dto,UserCreateDTO,15,0,0,0,1,0,1,0,1,0
authorization-service,com.example.authorization_service.dto,UserReturnDTO,12,0,0,0,1,0,1,0,1,0
authorization-service,com.example.authorization_service.parse,ParseClientDTOToClientEntity,17,6,0,0,4,3,1,1,1,1
authorization-service,com.example.authorization_service.parse,ParseUserDTOToUsers,14,0,0,0,4,0,2,0,2,0
authorization-service,com.example.authorization_service.parse,ParseUserToUserDTO,38,0,0,0,10,0,4,0,4,0
authorization-service,com.example.authorization_service.service,UserService,49,9,0,0,10,4,4,1,4,1
authorization-service,com.example.authorization_service.service,ClientService,10,20,0,0,2,6,1,2,1,2
authorization-service,com.example.authorization_service.domain,CustomAuthentication,34,0,0,0,12,0,9,0,9,0
authorization-service,com.example.authorization_service.domain,CustomAuthenticationProvider,35,9,2,0,7,4,3,1,2,1
authorization-service,com.example.authorization_service.config,TokenConfig,6,62,0,0,2,21,0,6,0,6
authorization-service,com.example.authorization_service.config,AuthorizationServerConfig,0,104,0,0,0,27,0,12,0,12
authorization-service,com.example.authorization_service.repository,CustomRegisteredClientRepository,50,12,2,0,20,5,4,1,3,1
